Quantity,Original,Optimized,Change_percent
"max CL/CD",129.600515463918,168.475711892797,29.9961742356674
"alpha at max CL/CD (deg)",5,3.5,-30
"max CL^1.5/CD",133.548009639554,172.002298014196,28.794355287234
"CL max",1.526,1.5374,0.747051114023596
"alpha at CL max (deg)",16,17,6.25
"CD min",0.00584,0.00545,-6.67808219178082
"CM at alpha = 0",-0.0963,-0.1307,-35.7217030114227
"t/c max",0.120165795099777,0.121283174804132,0.929865028086941
"objective LDmax, lower of 160/200 panels",129.543209876543,168.096774193548,29.7611618190929
