alpha,CL,CD,CM
-2,0.3604,0.00725,-0.1331
-1.5,0.4128,0.00711,-0.1325
-1,0.4662,0.00701,-0.1321
-0.5,0.5183,0.00687,-0.1314
0,0.5696,0.00667,-0.1307
0.5,0.6096,0.00588,-0.1277
1,0.6557,0.00568,-0.1255
1.5,0.7682,0.00545,-0.1385
2.5,0.9153,0.00571,-0.147
3,0.9615,0.00583,-0.145
3.5,1.0058,0.00597,-0.1427
4,1.0438,0.0062,-0.139
4.5,1.0763,0.00658,-0.1341
5,1.1045,0.0071,-0.1284
5.5,1.1258,0.00774,-0.1213
6,1.1423,0.00849,-0.1134
6.5,1.1593,0.0095,-0.1061
7,1.1734,0.01084,-0.0988
7.5,1.1783,0.01286,-0.0906
8,1.1845,0.01516,-0.0833
8.5,1.2067,0.01683,-0.0788
9,1.2337,0.01833,-0.0753
9.5,1.2625,0.01978,-0.0722
10,1.2909,0.02131,-0.0692
10.5,1.3197,0.02284,-0.0664
11,1.3429,0.0248,-0.0631
11.5,1.3707,0.02649,-0.0606
12,1.3904,0.02883,-0.0573
12.5,1.4141,0.03093,-0.0548
13,1.4366,0.0332,-0.0523
13.5,1.4515,0.03616,-0.0494
14,1.4689,0.03904,-0.047
14.5,1.4873,0.04194,-0.0449
15,1.4987,0.04555,-0.0427
15.5,1.5068,0.04966,-0.0405
16,1.5193,0.05345,-0.039
16.5,1.5314,0.05736,-0.0377
17,1.5374,0.06211,-0.0366
17.5,1.5306,0.06847,-0.0356
18,1.5373,0.07346,-0.0353
