step,LD_max
0,104.486345903771
1,NaN
2,108.833551769332
3,NaN
4,112.433936022253
5,NaN
6,115.608391608392
7,NaN
8,125.273631840796
9,NaN
10,137.820738137083
11,NaN
12,149.963099630996
13,NaN
14,162.701252236136
15,NaN
16,171.733576642336
17,NaN
18,178.541300527241
19,NaN
20,182.84965034965
