Airfoil,N140,N160,N180,N200,N220,N240,Median
"NACA 2412",104.4,104.6,104.7,104.9,105.1,104.9,104.8
"Report airfoil",178.9,178.9,178.6,178.6,178.7,178.7,178.7
"PARSEC, t >= 12 %",183.1,182.5,182.7,182.8,182.4,182.5,182.6
"CST, optimize_airfoil",141,141,141,140.8,140.7,140.4,140.9
"NACA [m p t], t >= 12 %",152.9,153,152.9,153,152.8,153,153
