alpha,CL,CD,CM
-2,0.4267,0.0062,-0.1571
-1.5,0.4811,0.00598,-0.1569
-1,0.5355,0.0058,-0.1566
-0.5,0.5897,0.00566,-0.1563
0,0.6434,0.00552,-0.1559
0.5,0.6965,0.00538,-0.1553
1,0.7466,0.00502,-0.1542
1.5,0.8052,0.00472,-0.1546
2,0.8575,0.00488,-0.1538
2.5,0.9089,0.00508,-0.1528
3,0.9538,0.00549,-0.1503
3.5,0.9979,0.00602,-0.1479
4,1.0382,0.00681,-0.1448
4.5,1.0738,0.00798,-0.141
5,1.1014,0.00981,-0.136
5.5,1.1311,0.01153,-0.1314
6,1.169,0.01263,-0.1283
6.5,1.2082,0.01357,-0.1253
7,1.2449,0.01446,-0.1218
7.5,1.2814,0.01529,-0.1183
8,1.3101,0.01665,-0.1135
8.5,1.3432,0.0177,-0.1097
9,1.3762,0.01876,-0.1061
9.5,1.3976,0.02068,-0.1008
10,1.4181,0.02278,-0.0956
10.5,1.4429,0.02461,-0.0914
11,1.4652,0.02675,-0.0872
11.5,1.4872,0.02893,-0.0834
12,1.5054,0.03151,-0.0794
12.5,1.502,0.03717,-0.0738
13,1.5178,0.04003,-0.0707
13.5,1.524,0.04432,-0.0673
14,1.5226,0.0497,-0.0642
14.5,1.5148,0.05617,-0.062
15,1.4979,0.06441,-0.061
15.5,1.4743,0.07444,-0.0618
16,1.4442,0.08674,-0.0652
16.5,1.4032,0.10276,-0.0721
17,1.3525,0.12335,-0.0837
17.5,1.2862,0.15198,-0.1022
