alpha,CL,CD,CM
-2,0.4016,0.00674,-0.1545
-1.5,0.4547,0.00662,-0.1538
-1,0.5069,0.00651,-0.1529
-0.5,0.5592,0.00643,-0.152
0,0.6109,0.00638,-0.151
0.5,0.6618,0.00635,-0.1498
1,0.712,0.00634,-0.1484
1.5,0.761,0.00635,-0.1468
2,0.8086,0.00636,-0.1449
2.5,0.8536,0.00636,-0.1425
3,0.9243,0.00604,-0.1458
3.5,0.9652,0.00633,-0.1425
4,1.0021,0.00668,-0.1383
4.5,1.0338,0.00712,-0.1331
5,1.0674,0.00762,-0.1285
5.5,1.101,0.0082,-0.124
6,1.135,0.00884,-0.1198
6.5,1.1665,0.00962,-0.1152
7,1.1966,0.01053,-0.1105
7.5,1.2253,0.01155,-0.1058
8,1.251,0.01278,-0.1008
8.5,1.2764,0.01408,-0.0959
9.5,1.3278,0.01687,-0.087
10,1.3539,0.01833,-0.083
10.5,1.3814,0.01977,-0.0793
11,1.4068,0.02139,-0.0756
11.5,1.4325,0.02306,-0.0721
12,1.4576,0.02482,-0.0688
12.5,1.4812,0.02676,-0.0655
13,1.5011,0.02904,-0.0621
13.5,1.5231,0.03126,-0.0593
14,1.5389,0.03409,-0.0561
14.5,1.5572,0.03682,-0.0535
15,1.5656,0.04056,-0.0506
15.5,1.5809,0.04382,-0.0485
16,1.5918,0.04764,-0.0465
16.5,1.5944,0.05248,-0.0446
17,1.5955,0.05771,-0.0432
17.5,1.6016,0.06261,-0.0424
18,1.6022,0.06831,-0.0419
