Airfoil,LD_at_CL_0.3,LD_at_CL_0.5,LD_at_CL_0.8,LD_at_CL_1.0,LD_at_CL_1.2
"NACA 2412 (baseline)",55,83,101.2,91.9,78.9
"Report airfoil (camber/thickness)",NaN,84.2,157.1,164.2,90
"PARSEC, XFOIL-optimised, t >= 12%",NaN,63.1,123.8,172.4,80.3
"CST, optimize_airfoil",45.9,88.5,126.7,139.9,124.6
