Quantity,Original,Optimized,Change_percent
"max CL/CD",104.622395833333,140.756972111554,34.5380890873345
"alpha at max CL/CD (deg)",4.5,5.5,22.2222222222222
"max CL^1.5/CD",95.7385429728242,148.075104022708,54.6661348969346
"CL max",1.4291,1.4929,4.46434819116926
"alpha at CL max (deg)",16,17.5,9.375
"CD min",0.00538,0.00582,8.17843866171003
"CM at alpha = 0",-0.048,-0.0653,-36.0416666666667
"t/c max",0.120051283692759,0.120497802342887,0.371939921334313
"objective LDmax, lower of 160/200 panels",104.622395833333,140.756972111554,34.5380890873345
