seed,m,p,t,C_over_T
1,0.0499998414187412,0.495815080972749,0.0800002552824287,0.626756647287015
2,0.0499999221195256,0.595905731292324,0.0800077486722882,0.626904015505176
3,0.0499998413419959,0.475786854052699,0.0800002553242206,0.626654049990876
4,0.0499998414498835,0.505829082802799,0.0800002552654614,0.626798301533326
5,0.0499998733422663,0.585998656108133,0.0800000997248636,0.62695958026745
