Quantity,Original,Optimized,Change_percent
"max CL/CD",76.4720194647202,123.66391184573,61.7113196582725
"alpha at max CL/CD (deg)",8,5.5,-31.25
"max CL^1.5/CD",75.9911097626133,117.628228397407,54.7920918181914
"CL max",1.308,1.3412,2.53822629969418
"alpha at CL max (deg)",16,16,0
"CD min",0.00532,0.00528,-0.751879699248122
"CM at alpha = 0",-0,-0.027,NaN
"t/c max",0.120014035554747,0.120174890512712,0.134030121745252
"objective LDmax, lower of 160/200 panels",76.4720194647202,123.434482758621,61.4113026210407
